Name,Content,State,ASIL,Rationale,Covers(int),Refined(int)
REQ-LLD-140,"When a card is successfully swallowed by the card slot, the bezel LED light ring shall shift to a solid illuminated state.",Released,ASIL-A,Modifies physical light signatures based on basic entry sensor updates.,,
REQ-LLD-141,The [CBS Bank Host] security gateway shall store active blocklisted IP ranges in a localized high-speed Radix tree data structure.,Released,ASIL-D,Structures network filter sets inside dedicated data frameworks to allow fast lookups.,,
REQ-LLD-142,"When a packet is parsed by the security gateway, its source IP shall be checked against the Radix tree structure within 2 milliseconds.",Released,ASIL-D,Sets rigorous processing times for edge firewall checks.,,
REQ-LLD-143,The [ATM Client Terminal] local vault door sensor shall read the continuity status of the physical vault frame loop wire every 10 milliseconds.,Released,ASIL-C,Monitors low-level safety circuitry on the terminal vault door.,,
REQ-LLD-144,"If the continuity status of the vault loop wire breaks, the terminal shall latch its electronic security alarm pin to an active-high state.",Released,ASIL-C,Triggers hardwired safety alarms if structural break-in attempts damage system components.,,
REQ-LLD-145,The [ATM Controller] diagnostic subsystem shall execute an automated RAM test across unallocated memory blocks every 24 hours.,Released,ASIL-A,Periodically checks for hardware degradation inside internal middleware memory cells.,,
REQ-LLD-146,"If the automated RAM test encounters a single bit-flip error, the controller shall dispatch a maintenance request ticket flag.",Released,ASIL-B,Identifies early physical memory damage before it causes software instability.,,
REQ-LLD-147,The [ATM Client Terminal] alphanumeric thermal receipt printer font set shall be loaded from an integrated onboard EEPROM chip on boot.,Released,ASIL-A,Initializes localized character sets directly from hardware memory vectors.,,
REQ-LLD-148,"When the terminal font set loads, the printer driver shall cross-reference character widths to ensure font scale conformity.",Released,ASIL-A,Validates visual rendering variables before permitting receipt print sequences.,,
REQ-LLD-149,The [CBS Bank Host] transaction router shall use an internal round-robin balancing scheme to distribute database queries across server clusters.,Released,ASIL-B,Dictates isolated server balancing patterns completely separate from terminal processes.,,
REQ-LLD-150,"When a new database server cluster node enters an active state, the router shall include the node identifier in the round-robin loop within 1 second.",Released,ASIL-B,Dynamically scales available resources within the core infrastructure.,,
REQ-LLD-151,The card reader hardware driver should read ISO cards super fast and work nicely with modern plastic bank card profiles.,InWork,ASIL-C,"Vague speed metrics ('super fast', 'work nicely'); non-verifiable.",,
REQ-LLD-152,"When track data is parsed, the system should dump it somewhere in RAM and hope it does not get mixed up with other data lines.",InWork,ASIL-C,"Imprecise memory planning ('dump it somewhere', 'hope it does not get mixed up').",,
REQ-LLD-153,The terminal screen update must look super smooth and refresh so fast that the human eye cannot see any screen flickering at all.,InWork,ASIL-A,"Highly subjective visual metric targets ('super smooth', 'so fast that the human eye cannot see').",,
REQ-LLD-154,The LCD display driver should show cool graphics and use high-end rendering styles like a video game console.,InWork,ASIL-A,"Contains non-binding wishful terminology and informal comparisons ('cool graphics', 'like a video game').",,
REQ-LLD-155,"When a customer clicks the screen, the system should pick up the touch coordinates instantly without being laggy.",InWork,ASIL-A,"Lacks quantified engineering metrics ('instantly', 'without being laggy').",,
REQ-LLD-156,Touch targets inside the terminal interface should be big enough so that users with thick fingers don't tap the wrong button.,InWork,ASIL-A,Imprecise structural metrics based on external human traits ('thick fingers').,,
REQ-LLD-157,The terminal keyboard hardware driver must clean up electrical bounce signals nicely so everything feels crisp to the touch.,InWork,ASIL-B,"Subjective haptic feel targets ('feels crisp to the touch', 'nicely').",,
REQ-LLD-158,"When keys are pressed down, the system should not lock up or act weird if the user bashes multiple buttons at once.",InWork,ASIL-B,"Highly informal slang terms ('act weird', 'bashes multiple buttons').",,
REQ-LLD-159,The internal log files on the middleware server should clean themselves up periodically so the drive does not get super full.,InWork,ASIL-A,"Non-measurable storage boundaries ('clean themselves up', 'super full').",,
REQ-LLD-160,"When log compression runs, the system should use a compression tool that works beautifully and never corrupts zip text files.",InWork,ASIL-A,"Subjective capability markers ('works beautifully', 'never corrupts').",,
REQ-LLD-161,"If space gets low on the middleware disk, the system should think about wiping out old logs that nobody care about anymore.",InWork,ASIL-A,"Anthropomorphic system behavior instruction ('think about wiping out', 'nobody care about').",,
REQ-LLD-162,The middleware memory buffer must allocate an absolute ton of RAM so connection processing threads never feel starved.,InWork,ASIL-B,"Vague capability targets ('an absolute ton', 'never feel starved').",,
REQ-LLD-163,The garbage collection software should run in the background and clean up dead memory blocks loops like magic.,InWork,ASIL-B,Uses non-falsifiable performance adjectives ('like magic').,,
REQ-LLD-164,"If a memory pointer leak happens, the app should fix itself automatically without bugging the main system developers.",InWork,ASIL-B,Lacks formal error handling or explicit recovery vectors ('fix itself automatically').,,
REQ-LLD-165,The local proximity radar must check for people hanging around the ATM machine and make sure they are not creepy.,InWork,ASIL-A,"Uses emotional and unmeasurable criteria ('creepy', 'hanging around').",,
REQ-LLD-166,"When nobody is near the terminal booth, the monitor should turn down its lights to save cash on the electricity bill.",InWork,ASIL-A,Explains operational business motives instead of explicit technical engineering triggers.,,
REQ-LLD-167,"If someone walks up to the kiosk, the display screen should wake up instantly and look incredibly bright and inviting.",InWork,ASIL-A,"Purely aesthetic design language ('incredibly bright and inviting', 'instantly').",,
REQ-LLD-168,The printer roll monitor should check if paper is left inside the slot and flash a warning if it looks empty.,InWork,ASIL-A,Ambiguous validation parameters ('flash a warning if it looks empty').,,
REQ-LLD-169,"If the receipt paper is jammed up, the interface should stop offering printouts and guide the customer nicely.",InWork,ASIL-A,Subjective user experience guidelines ('guide the customer nicely').,,
REQ-LLD-170,The receipt print head must not get super hot or burn the paper if it prints out a really long receipt frame.,InWork,ASIL-A,"Vague environmental boundaries ('super hot', 'a really long receipt frame').",,
REQ-LLD-171,"When the paper is printed, the scissor blade motor should chop the slip off quickly without making too much noise.",InWork,ASIL-A,Non-measurable mechanical acoustics constraint ('without making too much noise').,,
REQ-LLD-172,The controller network stack must send keep-alive pings down the wire and ensure the line is fast and crisp.,InWork,ASIL-B,Indefinite network connection parameters ('fast and crisp').,,
REQ-LLD-173,"If connection pings drop out, the driver should keep hammering the socket port forever until things come back alive.",InWork,ASIL-B,Creates a dangerous infinite block state condition ('hammering the socket port forever').,,
REQ-LLD-174,The controller startup process should check its setup text files and make sure management didn't put bad configurations inside.,InWork,ASIL-A,Informal organizational reference phrasing ('make sure management didn't put bad configs').,,
REQ-LLD-175,"If configuration profiles look weird on startup, the application should crash gracefully and display a cool error screen.",InWork,ASIL-B,"Ambiguous logic filters and informal adjectives ('look weird', 'cool error screen').",,
REQ-LLD-176,The core backend database must structure its indices beautifully using modern trees so lookup scripts run instantly.,InWork,ASIL-B,"Lacks precise software performance timings ('beautifully', 'instantly').",,
REQ-LLD-177,"When database indices rebalance themselves, the server mainframe should not choke up or drop ongoing transactions.",InWork,ASIL-B,Highly unprofessional slang expressions ('choke up').,,
REQ-LLD-178,The bank system master clock needs to talk to standard server clocks online so timestamps don't get out of sync.,InWork,ASIL-A,Imprecise external data references ('standard server clocks online'); lacks exact timing metrics.,,
REQ-LLD-179,"If the internal host clock drifts away, it should recalibrate itself quietly without causing any data anomalies.",InWork,ASIL-A,"Unquantified validation parameters ('quietly', 'any data anomalies').",,
REQ-LLD-180,The terminal audio speaker system must sound clear and loud enough so old people can hear the confirmation beeps easily.,InWork,ASIL-A,"Imprecise demographic target references ('old people', 'loud enough'); non-verifiable.",,
REQ-LLD-181,"When a user hits a button, a cute confirmation chime should play through the speakers without sounding distorted.",InWork,ASIL-A,"Subjective aesthetic audio properties ('cute confirmation chime', 'without sounding distorted').",,
REQ-LLD-182,The internal air conditioner switch should turn on fans when the cabinet gets super hot inside so circuits do not melt.,InWork,ASIL-A,"Dramatic, non-technical risk descriptors ('super hot', 'so circuits do not melt').",,
REQ-LLD-183,"If the kiosk temperature goes below freezing, a heater should kick in fast to keep the computer boards warm and happy.",InWork,ASIL-A,Anthropomorphic system design goal language ('keep the computer boards warm and happy').,,
REQ-LLD-184,The controller application should deploy heavy cryptographic math when building connection sockets so hackers get confused.,InWork,ASIL-D,"Emotional target definitions ('heavy cryptographic math', 'so hackers get confused').",,
REQ-LLD-185,"When cryptographic public keys are built by the middleware layer, they should be stored safely in a super secure spot.",InWork,ASIL-D,Vague storage location definitions ('stored safely in a super secure spot').,,
REQ-LLD-186,The LED ring around the card reader mouth should blink happily to attract customers walking down the street.,InWork,ASIL-A,Anthropomorphic description focusing on external marketing goals ('blink happily to attract customers').,,
REQ-LLD-187,"When a payment card gets stuck in the reader, the LED slot light must flash red like crazy to show something went wrong.",InWork,ASIL-A,Highly informal and imprecise indicator description ('flash red like crazy').,,
REQ-LLD-188,The host blocklist tree data setup must hold millions of bad IP numbers and look them up super fast without stalling.,InWork,ASIL-D,"Uses vague metrics and unverified classifications ('millions of bad IP numbers', 'super fast').",,
REQ-LLD-189,"When a client packet hits the security wall, the gateway should double-check its source path against the blocklist nicely.",InWork,ASIL-D,Intentionally subjective execution description ('double-check... nicely').,,
REQ-LLD-190,The terminal vault door sensor circuit should be robust and catch bad guys trying to break open the cash vault box.,InWork,ASIL-C,Non-technical security description using informal slang terms ('catch bad guys').,,
REQ-LLD-191,"If the security wire on the cash vault frame is sliced, the terminal should scream an alarm loud enough to scare thieves away.",InWork,ASIL-C,"Highly emotional and non-falsifiable operational targets ('scream an alarm', 'scare thieves away').",,
REQ-LLD-192,The middleware self-test routine should check system memory pools once in a while and fix broken memory cells automatically.,InWork,ASIL-A,Imprecise timeline intervals and missing technical recovery paths ('once in a while').,,
REQ-LLD-193,"If a memory test throws a bit error, the controller system should try to heal itself or email an admin somehow.",InWork,ASIL-B,"Highly ambiguous action directives containing non-standard escape options ('try to heal itself', 'somehow').",,
REQ-LLD-194,The printer font database array should load font vectors smoothly on boot so receipts print text effortlessly.,InWork,ASIL-A,"Subjective aesthetic performance descriptors ('smoothly', 'effortlessly').",,
REQ-LLD-195,"When character scaling arrays are read, the driver layout module must fit the text nicely onto paper slips without gaps.",InWork,ASIL-A,Vague structural positioning parameters ('fit the text nicely... without gaps').,,
REQ-LLD-196,The backend transaction router needs to split database workloads across host computers evenly so servers stay relaxed.,InWork,ASIL-B,Anthropomorphic performance tracking goals ('so servers stay relaxed').,,
REQ-LLD-197,"When a database mainframe crashes, the router should move requests to another computer as fast as possible without lag.",InWork,ASIL-B,Immeasurable performance metrics ('as fast as possible without lag').,,
REQ-LLD-198,The card intake motor should grip plastic cards firmly but gently so it does not scratch the customer's expensive card.,InWork,ASIL-A,"Subjective and unmeasurable physical boundaries ('firmly but gently', 'expensive card').",,
REQ-LLD-199,The terminal power backup system must watch out for power drops and keep the motherboard happy during summer blackouts.,InWork,ASIL-D,Informal and seasonal condition framing statements ('keep the motherboard happy during summer blackouts').,,
REQ-LLD-200,The internal climate control board should manage system fans optimally so the terminal computer never gets sweaty or overheats.,InWork,ASIL-A,"Uses unscientific, highly unprofessional slang terms ('never gets sweaty').",,
